id_alimento_anmat,nombre,denominacion,marca,categoria,kcal_100g,unidad,proteinas_100g,grasas_100g,carbs_100g
31869,Granola con algarroba y coco.,"Mezcla de copos de maíz, extrudado a basede harina de arroz yamani, extrudado a base de harina de quinoa con algarroba, miel y coco rallado",De mi tierra artesanal,Cereales,373.33,g,5.33,5.0,76.67
31870,Alfajor de frutos del bosque,"Alfajor relleno de dulce de frambuesa, corinto, frutilla y arándano cubierto con chocolate con leche",La vieja aldea,Galletitas y bizcochos,364.0,g,2.53,9.47,70.67
31871,Pan dulce ttipo stollen,Pan dulce con almendras y nueces,Frambuesa & chocolate,Pan y productos de panadería,462.22,g,7.11,24.44,58.22
31872,Alfajor de maicena,Alfajor relleno con dulce de leche,Celi deli,Galletitas y bizcochos,373.33,g,3.33,15.0,56.67
31873,Alfajor de frutos secos y dulce de leche,"Alfajor a base de almendra, maní, castañas de cajú y nuez relleno de dulce de leche cubierto con chocolate semiamargo.",Celi deli,Galletitas y bizcochos,342.86,g,4.29,17.14,44.29
31874,Alfajor relleno de dulce de leche cubierto con chocolate semiamargo,Alfajor relleno de dulce de leche cubierto con chocolate semiamargo,Celi deli,Galletitas y bizcochos,391.67,g,5.0,18.33,53.33
31875,Alfajor de maicena relleno con dulce de membrillo cubierto con glasé,Alfajor relleno de dulce de membrillo cubierto con glase de limón,Celi deli,Galletitas y bizcochos,278.57,g,2.86,10.0,45.71
31876,Alfajor de frutos del bosque,"Alfajor relleno de mermelada de frutilla, zarzamora, frambuesa y arándanos cubierto con chocolate semiamargo",Celi deli,Galletitas y bizcochos,278.57,g,2.86,14.29,34.29
31877,Pan integral con semillas,"Pan integral con semillas de sésamo, girasol, lino, chia y avena",Convidame,Pan y productos de panadería,222.86,g,8.29,8.29,40.0
31878,Pepas integrales y algarroba,"Galletitas dulces a base de harina integral, avena y harina de algarroba con mermelada de membrillo",Convidame,Galletitas y bizcochos,348.0,g,4.8,13.2,60.0
31879,Granola,"Mezcla de avena, coco rallado, almendras, nueces y extrudado a base de quinoa con miel, azúcar y aromatizante idéntico al natural sabor vainilla",Convidame,Productos a base de cereales,372.0,g,8.0,16.0,56.0
31880,Tapa de chocolate - relleno de dulce de leche,Aljafor relleno de dulce de leche cubierto con chocolate semiamargo,Frambuesa & chocolate,Galletitas y bizcochos,454.67,g,4.0,20.0,64.0
31881,Pan integral,"Pan integral con semillas de sésamo, girasol, lino y chia y avena",Convidame,Pan y productos de panadería,256.67,g,9.22,9.0,42.22
31882,Pan blanco,Pan,Convidame,Pan y productos de panadería,268.75,g,6.88,2.12,46.25
31883,Pan de miga,Pan sandwich,Frambuesa & chocolate,Pan y productos de panadería,375.0,g,0.0,3.5,70.0
31884,Pepas de chocolate y frambuesa,Galletitas dulces a base de harina integral y cacao en polvo con mermelada de frambuesa,Convidame,Galletitas y bizcochos,408.0,g,4.8,20.4,56.0
